"My Cart (%s item)," Mon panier (%s article)"
"My Cart (%s items)","Mon panier (%s articles)"
"My Cart","Votre panier"
"My Account","Mon Compte"
"Email subscription","Inscription par e-mail"
"Username or email","Nom d'utilisateur ou e-mail"
"Register","Enregistrez-vous"
"Are you a new customer ?","Vous êtes un nouveau client ?"
"Keep me logged in","Restez connecté"
"Search","Recherche"
"Hello","Bonjour"
"Connection","Connexion"
"Your Informations","Vos Informations"
"Login Information","Vos Identifiants"
"Create ","Enregistrez-"
"an account","vous"
"Create your Helena Rubinstein account by completing the following fields","Créez votre compte Helena Rubinstein en complétant les champs suivants"
"First Name","Prénom"
"Last Name","Nom"
"Email Address","Votre e-mail"
"Company","Société"
"Telephone","Téléphone"
"Street Address","Adresse"
"Street Address %s","Adresse %s"
"City","Ville"
"Zip/Postal Code","Code postal"
"Country","Pays"
"Password","Mot de passe"
"Confirm Password","Confirmation"
"* Required Fields","* Champs obligatoires"
"Submit","Valider"
"Error message : There are missing required fields","Message d'erreur : il y a des champs requis manquants"
"Welcome in your Helena Rubinstein personal area","Bienvenue dans votre espace Helena Rubinstein"
"From this page, you have the ability to update your account information, your recent orders and manage your newsletter subscription.","Depuis cette page, vous pouvez consulter vos informations, vos commandes passées, retrouver votre diagnostic beauté ou encore gérer vos abonnements à notre newsletter."
"Manage your informations and your Helena Rubinstein account password","Gérez vos coordonnées et le mot de passe de votre compte Helena Rubinstein"
"Address Book","Votre carnet d'adresse"
"Contact Information","Vos identifiants"
"Edit, delete or add a new address in your address book.","Modifiez, supprimez ou ajoutez une nouvelle adresse dans votre carnet d'adresse"
"If you want, you can edit your informations.","Si vous le souhaitez, vous pouvez modifier vos identifiants."
"Your email :","Votre adresse e-mail :"
"Your password :","Votre mot de passe"
"Change Password","Changer mon mot de passe"
"Edit your informations","Modifier vos identifiants"
"Delete","Supprimer"
"Edit","Modifier"
"Add an address","Ajouter une adresse"
"Save Address","Valider"
"Default Addresses","Adresses par défaut"
"Default Billing Address","Adresse de facturation par défaut"
"Default Shipping Address","Adresse de livraison par défaut"
"You have not set a default billing address.","Vous n'avez pas renseigné d'adresse de facturation."
"You have no default billing address in your address book.","Vous n'avez aucune adresse de facturation dans votre carnet d'adresse."
"You have no default shipping address in your address book.","Vous n'avez aucune adresse de livraison dans votre carnet d'adresse."
"You have not set a default shipping address.","Vous n'avez pas renseigné d'adresse de livraison."
"Edit Address","Éditer l'adresse"
"Are you sure you want to delete this address?","Êtes-vous sûr de vouloir supprimer cette adresse ?"
"Your Orders","Vos commandes"
"Here are your orders and invoices in detail.","Retrouvez ici vos commandes passées en détail et vos factures."
"You have not spent any order on our website at this time.","Vous n'avez passé aucune commande sur notre site à ce jour."
"Please select region, state or province","Choisissez une région, un état ou une province"
"Discover","Découvrir"
"The HR Community","La communauté HR"
"Discover the facebook fanpage","Découvrir la page Facebook"
"Follow Helena Rubinstein","Suivre Helena Rubinstein sur Twitter"
"News","Actualités"
"Qty:","Quantité :"
"Add to Cart","Ajouter au panier"
"Proceed to Checkout","Valider votre commande"
"Product Name","Produits"
"Qty","Quantité"
"Unit Price","Prix"
"Subtotal","Total"
"Shopping Cart","Votre panier"
"To continue your order, please check the content of your basket and select the choice up to two offer samples","Pour poursuivre votre commande, veuillez vérifier le contenu de votre panier, et sélectionner au choix jusqu'à 2 échantillons (offerts)"
"Remove item","Supprimer"
"Continue Shopping","Poursuivre vos achats"
"Already registered?","Déjà Client ?"
