"Action","Action"
"Add Item","Add Item"
"Add New Template","Add New Template"
"Adds name fields for guests","Adds name fields for guests"
"Advanced Newsletter","Advanced Newsletter"
"Advanced Newsletter Configuration","Advanced Newsletter Configuration"
"Advanced Newsletter / Mailchimp synchronization","Advanced Newsletter / Mailchimp synchronization"
"AJAX layer","AJAX layer"
"All","All"
"all news","all news"
"API key","API key"
"Are you sure?","Are you sure?"
"Cancelled","Cancelled"
"Category default","Category default"
"category news","category news"
"Check boxes","Check boxes"
"Create Newsletter Template","Create Newsletter Template"
"Customer will be automatically subscribed to this segment without choice","Customer will be automatically subscribed to this segment without choice"
"CSV","CSV"
"Customer","Customer"
"Customer Firstname","Customer Firstname"
"Customer First name","Customer First name"
"Customer Lastname","Customer Lastname"
"Customer Last name","Customer Last name"
"Customer will automatically subscribed to this segment without choice","Customer will automatically subscribed to this segment without choice"
"Date Added","Date Added"
"Date Updated","Date Updated"
"Default category","Default category"
"Default Category","Default Category"
"Default store","Default store"
"Default Store","Default Store"
"Default subscription","Default subscription"
"Delete","Delete"
"Delete Item","Delete Item"
"Delete Template","Delete Template"
"Display in category","Display in category"
"Display in store","Display in store"
"Display name","Display name"
"Display order","Display order"
"Edit Item '%s'","Edit Item '%s'"
"Edit Newsletter","Edit Newsletter"
"Edit Newsletter Template","Edit Newsletter Template"
"Edit Queue","Edit Queue"
"Edit Template","Edit Template"
"Email","Email"
"Enabled","Enabled"
"Enables/disables auto-synchronization with Mailchimp which happens each time a user subscribes/unsubscribes","Enables/disables auto-synchronization with Mailchimp which happens each time a user subscribes/unsubscribes"
"Error Code","Error Code"
"Error Text","Error Text"
"Error while deleting this template. Please try again later.","Error while deleting this template. Please try again later."
"Error while saving this template. Please try again later.","Error while saving this template. Please try again later."
"Fields","Fields"
"First name","First name"
"Form Configuration","Form Configuration"
"Form configuration","Form configuration"
"Form display style","Form display style"
"Guest","Guest"
"ID","ID"
"In block","In block"
"Invalid queue selected","Invalid queue selected"
"Item does not exist","Item does not exist"
"Item Manager","Item Manager"
"Item News","Item News"
"Item was successfully deleted","Item was successfully deleted"
"Item was successfully saved","Item was successfully saved"
"Last name","Last name"
"List ID","List ID"
"Loading...","Loading..."
"Mailchimp auto-sync","Mailchimp auto-sync"
"Mail Chimp configuration","Mail Chimp configuration"
"Manage subscriptions","Manage subscriptions"
"Message","Message"
"Multiselect","Multiselect"
"Newsletter","Newsletter"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Newsletter Queue"
"Queue Date Start", "Queue Date Start"
"Queue Information","Queue Information"
"Queue Newsletter","Queue Newsletter"
"Queue Subject","Queue Subject"
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","Newsletter Subscriptions"
"Newsletter Templates","Newsletter Templates"
"New Template","New Template"
"New Newsletter Template","New Newsletter Template"
"None","None"
"No","No"
"No subscribers selected","No subscribers selected"
"Not activated","Not activated"
"Not Sent","Not Sent"
"Note that this field's text  is case-sensitive<br /> and must exactly correspond to the Mailchimp text","Note that this field's text  is case-sensitive<br /> and must exactly correspond to the Mailchimp text"
"Page","Page"
"Password","Password"
"Paused","Paused"
"Please, choose segment to subscribe","Please, choose segment to subscribe"
"Please, enter valid Email","Please, enter valid Email"
"Please select item","Please select item"
"Please select item(s)","Please select item(s)"
"Please select subscriber(s)","Please select subscriber(s)"
"Port","Port"
"Preview","Preview"
"Preview Template","Preview Template"
"Processed","Processed"
"Queue Finish","Queue Finish"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","Queue Start"
"Radio buttons","Radio buttons"
"Recipients","Recipients"
"Save And Continue Edit","Save And Continue Edit"
"Save As","Save As"
"Save Item","Save Item"
"Save Template","Save Template"
"Segment","Segment"
"Segment code","Segment code"
"Segment Code","Segment Code"
"Segments codes","Segments codes"
"Segment","Segment"
"Segments Management","Segments Management"
"Segments style","Segments style"
"Segment Title","Segment Title"
"Select","Select"
"Select items","Select items"
"Sender Email","Sender Email"
"Sender Name","Sender Name"
"Sender","Sender"
"Sending","Sending"
"Sent","Sent"
"Server name","Server name"
"Sign Up for Newsletter","Sign Up for Newsletter"
"SMTP account","SMTP account"
"SMTP Configuration","SMTP Configuration"
"SMTP server","SMTP server"
"Status","Status"
"Store default","Store default"
"store news","store news"
"Store","Store"
"Store View","Store View"
"Subject","Subject"
"Subscribed","Subscribed"
"Subscribe","Subscribe"
"Subscribe to","Subscribe to"
"Subscribe to newsletter","Subscribe to newsletter"
"Subscriber", "Subscriber"
"Subscribers From","Subscribers From"
"Successfully synchronized","Successfully synchronized"
"Synchronization failed","Synchronization failed"
"Template Content","Template Content"
"Template Information","Template Information"
"Template Name","Template Name"
"Template Subject","Template Subject"
"Template Type","Template Type"
"Title","Title"
"Type","Type"
"Unable to find item to save","Unable to find item to save"
"Unsubscribe","Unsubscribe"
"Unsubscribe from all","Unsubscribe from all"
"Unsubscribe link","Unsubscribe link"
"Unsubscribed","Unsubscribed"
"User name","User name"
"User Name","User Name"
"Use ssl","Use ssl"
"Use SSL","Use SSL"
"View Newsletter","View Newsletter"
"Website","Website"
"Wrong newsletter template.","Wrong newsletter template."
"XML-RPC URL","XML-RPC URL"
"XML","XML"
"Yes","Yes"
"You have been successfully subscribed","You have been successfully subscribed"
"You have been successfully unsubscribed","You have been successfully unsubscribed"
"You haven\'t been unsubscribed. Try again later","You haven\'t been unsubscribed. Try again later"
"Your subscriptions:","Your subscriptions:"
